"","p","n","n_resamples","prop_resample","runs","k","res"
"57",2,100,50,0.2,100,2,893.604965986395
"58",2,100,50,0.2,100,2,759.600204081633
"59",2,100,50,0.2,100,2,798.104149659864
"60",2,100,50,0.2,100,2,672.568803854875
"61",2,100,50,0.2,100,2,585.267080498866
"62",2,100,50,0.2,100,2,796.083707482993
"63",2,100,50,0.2,100,2,850.463628117914
"64",2,100,50,0.2,100,2,882.425595238095
"65",2,100,50,0.2,100,2,856.347012471655
"66",2,100,50,0.2,100,2,944.996167800454
"67",2,100,50,0.2,100,2,743.826876417234
"68",2,100,50,0.2,100,2,750.775742630385
"69",2,100,50,0.2,100,2,834.260017006803
"70",2,100,50,0.2,100,2,687.788888888889
"71",2,100,50,0.2,100,2,877.335610985135
"72",2,100,50,0.2,100,2,659.496319601915
"73",2,100,50,0.2,100,2,864.998321995465
"74",2,100,50,0.2,100,2,692.706334719073
"75",2,100,50,0.2,100,2,683.979002267574
"76",2,100,50,0.2,100,2,798.908202947846
"77",2,100,50,0.2,100,2,792.88302154195
"78",2,100,50,0.2,100,2,799.788803854875
"79",2,100,50,0.2,100,2,817.197641723356
"80",2,100,50,0.2,100,2,780.352063492064
"81",2,100,50,0.2,100,2,777.792746283699
"82",2,100,50,0.2,100,2,734.85269904258
"83",2,100,50,0.2,100,2,743.359047619048
"84",2,100,50,0.2,100,2,808.291927437642
"85",2,100,50,0.2,100,2,480.163446712018
"86",2,100,50,0.2,100,2,789.123928571429
"87",2,100,50,0.2,100,2,806.297970521542
"88",2,100,50,0.2,100,2,846.951337868481
"89",2,100,50,0.2,100,2,880.750884353742
"90",2,100,50,0.2,100,2,729.372270093222
"91",2,100,50,0.2,100,2,784.331411564626
"92",2,100,50,0.2,100,2,796.885873015873
"93",2,100,50,0.2,100,2,776.065289115646
"94",2,100,50,0.2,100,2,773.856077097506
"95",2,100,50,0.2,100,2,723.843721340388
"96",2,100,50,0.2,100,2,788.188211136306
"97",2,100,50,0.2,100,2,843.778424036281
"98",2,100,50,0.2,100,2,844.20820861678
"99",2,100,50,0.2,100,2,823.989292642983
"100",2,100,50,0.2,100,2,804.530878684807
"101",2,100,50,0.2,100,3,646.888571428571
"102",2,100,50,0.2,100,3,562.006485890653
"103",2,100,50,0.2,100,3,596.504149659864
"104",2,100,50,0.2,100,3,594.326405895692
"105",2,100,50,0.2,100,3,508.903270975057
"106",2,100,50,0.2,100,3,556.587886747292
"107",2,100,50,0.2,100,3,601.559982993197
"108",2,100,50,0.2,100,3,539.039050138574
"109",2,100,50,0.2,100,3,514.278378684807
"110",2,100,50,0.2,100,3,587.561479591837
"111",2,100,50,0.2,100,3,628.779688208617
"112",2,100,50,0.2,100,3,573.251224489796
"113",2,100,50,0.2,100,3,596.666989795918
"114",2,100,50,0.2,100,3,598.691814058957
"115",2,100,50,0.2,100,3,556.749212018141
"116",2,100,50,0.2,100,3,603.19556122449
"117",2,100,50,0.2,100,3,581.660464852608
"118",2,100,50,0.2,100,3,656.719569160998
"119",2,100,50,0.2,100,3,652.434444444444
"120",2,100,50,0.2,100,3,600.377142857143
"121",2,100,50,0.2,100,3,578.416077097506
"122",2,100,50,0.2,100,3,598.410634920635
"123",2,100,50,0.2,100,3,550.954081632653
"124",2,100,50,0.2,100,3,624.517103174603
"125",2,100,50,0.2,100,3,566.45693877551
"126",2,100,50,0.2,100,3,517.190453514739
"127",2,100,50,0.2,100,3,534.255464852608
"128",2,100,50,0.2,100,3,555.220362811791
"129",2,100,50,0.2,100,3,547.359149659864
"130",2,100,50,0.2,100,3,632.170510204082
"131",2,100,50,0.2,100,3,666.165878684807
"132",2,100,50,0.2,100,3,614.678548752834
"133",2,100,50,0.2,100,3,539.402063492064
"134",2,100,50,0.2,100,3,576.771553287982
"135",2,100,50,0.2,100,3,528.247103174603
"136",2,100,50,0.2,100,3,675.020498866213
"137",2,100,50,0.2,100,3,618.732948475687
"138",2,100,50,0.2,100,3,573.684149659864
"139",2,100,50,0.2,100,3,655.317732426304
"140",2,100,50,0.2,100,3,625.906054421769
"141",2,100,50,0.2,100,3,546.261349206349
"142",2,100,50,0.2,100,3,502.089914965986
"143",2,100,50,0.2,100,3,528.641893424036
"144",2,100,50,0.2,100,3,724.707916351726
"145",2,100,50,0.2,100,3,638.575153061225
"146",2,100,50,0.2,100,3,579.849410430839
"147",2,100,50,0.2,100,3,653.493829050139
"148",2,100,50,0.2,100,3,622.293786848073
"149",2,100,50,0.2,100,3,624.503860544218
"150",2,100,50,0.2,100,3,570.767828798186
"151",2,100,50,0.2,100,3,569.043736457546
"152",2,100,50,0.2,100,3,523.64227324263
"153",2,100,50,0.2,100,3,613.49335600907
"154",2,100,50,0.2,100,3,576.36962585034
"155",2,100,50,0.2,100,3,510.398022171832
"156",2,100,50,0.2,100,3,603.408985260771
"157",2,100,50,0.2,100,3,638.246235827664
"158",2,100,50,0.2,100,3,572.67966553288
"159",2,100,50,0.2,100,3,539.590430839002
"160",2,100,50,0.2,100,3,574.005510204082
"161",2,100,50,0.2,100,3,616.436785714286
"162",2,100,50,0.2,100,3,545.551865079365
"163",2,100,50,0.2,100,3,575.054654195011
"164",2,100,50,0.2,100,3,681.624858276644
"165",2,100,50,0.2,100,3,614.336768707483
"166",2,100,50,0.2,100,3,633.092993197279
"167",2,100,50,0.2,100,3,588.455555555556
"168",2,100,50,0.2,100,3,683.906853741497
"169",2,100,50,0.2,100,3,571.799031242126
"170",2,100,50,0.2,100,3,547.962448979592
"171",2,100,50,0.2,100,3,641.810992693374
"172",2,100,50,0.2,100,3,571.435301083396
"173",2,100,50,0.2,100,3,636.778055555556
"174",2,100,50,0.2,100,3,519.61216553288
"175",2,100,50,0.2,100,3,634.345056689342
