"","p","n","n_resamples","prop_resample","runs","k","res"
"164",2,100,20,0.5,100,3,1060.19711617827
"165",2,100,20,0.5,100,3,943.394293187049
"166",2,100,20,0.5,100,3,738.415308418133
"167",2,100,20,0.5,100,3,820.649826751331
"168",2,100,20,0.5,100,3,1131.04066326531
"169",2,100,20,0.5,100,3,996.879308379612
"170",2,100,20,0.5,100,3,686.53912330051
"171",2,100,20,0.5,100,3,965.865369110607
"172",2,100,20,0.5,100,3,808.109712627471
"173",2,100,20,0.5,100,3,1011.77075748474
"174",2,100,20,0.5,100,3,935.158857639475
"175",2,100,20,0.5,100,3,868.22812004155
"176",2,100,20,0.5,100,3,942.512527605964
"177",2,100,20,0.5,100,3,727.763388752501
"178",2,100,20,0.5,100,3,939.295006481013
"179",2,100,20,0.5,100,3,686.015208204494
"180",2,100,20,0.5,100,3,894.617552795529
"181",2,100,20,0.5,100,3,1051.92555221616
"182",2,100,20,0.5,100,3,443.019511888624
"183",2,100,20,0.5,100,3,856.123814687797
"184",2,100,20,0.5,100,3,798.755388122072
"185",2,100,20,0.5,100,3,842.095152384492
"186",2,100,20,0.5,100,3,969.277358557748
"187",2,100,20,0.5,100,3,961.083565210612
"188",2,100,20,0.5,100,3,1182.34610040312
"189",2,100,20,0.5,100,3,976.851936052964
"190",2,100,20,0.5,100,3,980.70626692091
"191",2,100,20,0.5,100,3,987.074584470764
"192",2,100,20,0.5,100,3,1047.00473012437
"193",2,100,20,0.5,100,3,712.068368580674
"194",2,100,20,0.5,100,3,896.591606369821
"195",2,100,20,0.5,100,3,958.336399685372
"196",2,100,20,0.5,100,3,701.879073982283
"197",2,100,20,0.5,100,3,835.913806353579
"198",2,100,20,0.5,100,3,879.362191331997
"199",2,100,20,0.5,100,3,702.550653416249
"200",2,100,20,0.5,100,3,1027.88291688791
"201",2,100,20,0.5,100,4,808.791255762004
"202",2,100,20,0.5,100,4,712.357655737413
"203",2,100,20,0.5,100,4,747.314235027038
"204",2,100,20,0.5,100,4,687.301856141786
"205",2,100,20,0.5,100,4,809.238979524164
"206",2,100,20,0.5,100,4,812.84673199736
"207",2,100,20,0.5,100,4,563.525452260182
"208",2,100,20,0.5,100,4,670.599233939061
"209",2,100,20,0.5,100,4,633.38548464963
"210",2,100,20,0.5,100,4,693.403172947013
"211",2,100,20,0.5,100,4,850.979423028471
"212",2,100,20,0.5,100,4,903.348603297456
"213",2,100,20,0.5,100,4,745.668993693896
"214",2,100,20,0.5,100,4,843.122794841843
"215",2,100,20,0.5,100,4,727.542051399378
"216",2,100,20,0.5,100,4,801.553572818475
"217",2,100,20,0.5,100,4,766.307392276758
"218",2,100,20,0.5,100,4,859.821105121553
"219",2,100,20,0.5,100,4,841.220088183422
"220",2,100,20,0.5,100,4,824.409210926097
"221",2,100,20,0.5,100,4,665.843445499106
"222",2,100,20,0.5,100,4,831.321848639976
"223",2,100,20,0.5,100,4,733.692042616706
"224",2,100,20,0.5,100,4,676.610965238866
"225",2,100,20,0.5,100,4,782.887466996287
"226",2,100,20,0.5,100,4,788.285201359087
"227",2,100,20,0.5,100,4,702.839233762069
"228",2,100,20,0.5,100,4,693.879896970113
"229",2,100,20,0.5,100,4,712.913048120125
"230",2,100,20,0.5,100,4,788.059816331625
"231",2,100,20,0.5,100,4,906.820184825997
"232",2,100,20,0.5,100,4,919.424606454152
"233",2,100,20,0.5,100,4,724.605241520545
"234",2,100,20,0.5,100,4,767.594435730215
"235",2,100,20,0.5,100,4,699.082447974905
"236",2,100,20,0.5,100,4,830.211775188496
"237",2,100,20,0.5,100,4,771.866664624734
"238",2,100,20,0.5,100,4,753.914139495234
"239",2,100,20,0.5,100,4,809.44310473317
"240",2,100,20,0.5,100,4,814.975059526412
"241",2,100,20,0.5,100,4,702.936032854832
"242",2,100,20,0.5,100,4,770.9195526994
"243",2,100,20,0.5,100,4,740.061766219191
"244",2,100,20,0.5,100,4,780.865972653751
"245",2,100,20,0.5,100,4,864.708007148375
"246",2,100,20,0.5,100,4,711.756135629642
"247",2,100,20,0.5,100,4,775.409914289254
"248",2,100,20,0.5,100,4,839.422091742263
"249",2,100,20,0.5,100,4,812.414322814832
"250",2,100,20,0.5,100,4,731.558386472434
"251",2,100,20,0.5,100,4,802.592868402641
"252",2,100,20,0.5,100,4,687.688658455572
"253",2,100,20,0.5,100,4,803.389560325653
"254",2,100,20,0.5,100,4,905.347806601367
"255",2,100,20,0.5,100,4,316.431904538063
"256",2,100,20,0.5,100,4,802.323199933784
"257",2,100,20,0.5,100,4,779.211784121362
"258",2,100,20,0.5,100,4,648.567205788532
"259",2,100,20,0.5,100,4,772.041731336244
"260",2,100,20,0.5,100,4,584.589207260192
"261",2,100,20,0.5,100,4,800.396733314385
"262",2,100,20,0.5,100,4,553.934968521538
"263",2,100,20,0.5,100,4,757.15713555555
"264",2,100,20,0.5,100,4,904.964125058043
"265",2,100,20,0.5,100,4,479.874756864939
"266",2,100,20,0.5,100,4,728.426783756968
"267",2,100,20,0.5,100,4,640.816057477475
"268",2,100,20,0.5,100,4,864.295993953137
"269",2,100,20,0.5,100,4,644.414458520476
"270",2,100,20,0.5,100,4,610.890257611156
"271",2,100,20,0.5,100,4,895.719072184429
"272",2,100,20,0.5,100,4,514.133565551412
"273",2,100,20,0.5,100,4,810.462715497586
"274",2,100,20,0.5,100,4,691.267853748785
"275",2,100,20,0.5,100,4,889.832213533066
"276",2,100,20,0.5,100,4,724.431402441123
"277",2,100,20,0.5,100,4,790.444541128665
"278",2,100,20,0.5,100,4,805.031875553099
"279",2,100,20,0.5,100,4,782.045500651745
"280",2,100,20,0.5,100,4,780.368271610144
"281",2,100,20,0.5,100,4,998.375147290087
"282",2,100,20,0.5,100,4,753.793277518537
"283",2,100,20,0.5,100,4,697.941562423868
"284",2,100,20,0.5,100,4,788.541225897227
"285",2,100,20,0.5,100,4,396.495766175463
"286",2,100,20,0.5,100,4,526.39916591185
"287",2,100,20,0.5,100,4,706.563646254277
"288",2,100,20,0.5,100,4,855.248408919123
"289",2,100,20,0.5,100,4,943.893011781389
"290",2,100,20,0.5,100,4,837.307672129458
"291",2,100,20,0.5,100,4,835.767044376979
"292",2,100,20,0.5,100,4,781.577919339759
"293",2,100,20,0.5,100,4,754.060727544461
"294",2,100,20,0.5,100,4,629.236368024712
"295",2,100,20,0.5,100,4,629.471143073697
"296",2,100,20,0.5,100,4,600.140342513766
"297",2,100,20,0.5,100,4,751.375617544232
"298",2,100,20,0.5,100,4,681.171570029297
"299",2,100,20,0.5,100,4,727.87446308061
"300",2,100,20,0.5,100,4,804.271904113172
"301",2,100,20,0.5,100,5,731.424358403218
"302",2,100,20,0.5,100,5,617.975602546804
"303",2,100,20,0.5,100,5,747.403498867254
"304",2,100,20,0.5,100,5,618.978517279578
