"","k","CRAB","mean","cluster_2_mean/mean","adj_crab","S_test"
"79",22,0.019886235814734,0.0315204505991189,5.4785456413386,0.108947650545443,3
"80",23,0.0205239068502547,0.0299192777695108,5.7717378264661,0.118458609514482,3
"81",24,0.0210473881046337,0.028354425241632,6.09027429655959,0.128184366783364,3
"82",25,0.0212392425143929,0.0269033075832757,6.41877310841069,0.136329878694398,3
"83",26,0.0222343307379219,0.0255817526316897,6.75036733131861,0.150089899847001,3
"84",27,0.0227045792585008,0.02438998734494,7.08020979267368,0.160753184404573,3
"85",28,0.0236300240123448,0.0231506166847386,7.45924955669412,0.176262246138755,3
"86",29,0.0238475209739499,0.0222009572482874,7.77832348900869,0.185493732546302,3
"87",30,0.0234969617246978,0.021305193741725,8.10535822092223,0.190451291881974,3
"88",2,0.217614087666408,0.172686227242832,1,0.217614087666408,4
"89",3,0.168738547344164,0.15321165756439,1.12710892883759,0.190186723350692,4
"90",4,0.149599153084065,0.146278929821656,1.18052700722771,0.17660584047413,4
"91",5,0.0923673870669156,0.140782118442424,1.22662046255154,0.113299727048697,4
"92",6,0.0850403514661389,0.110227385137324,1.56663634021342,0.133227304991375,4
"93",7,0.0826969229258357,0.103148497306972,1.67415165272756,0.138447190191771,4
"94",8,0.0658697399376519,0.09530377586628,1.81195577691619,0.119353055803995,4
"95",9,0.062630150285361,0.0885155829829385,1.95091329033123,0.122185992567153,4
"96",10,0.0611144354101369,0.0803651739544483,2.14876940776252,0.13132082918198,4
"97",11,0.0468935202889258,0.073019928041298,2.36491916487736,0.110899384839846,4
"98",12,0.0389830156306502,0.0661437126330385,2.61077312368123,0.101775809488547,4
"99",13,0.029567704517682,0.0604403782971322,2.85713346124151,0.0844788779495712,4
"100",14,0.0224406809001503,0.0554755238358288,3.11283635200759,0.0698541672697903,4
"101",15,0.0180922997696064,0.0512238886467524,3.37120495543987,0.0609928506386006,4
"102",16,0.0138080077400529,0.0471329175222517,3.66381366401317,0.0505899674308053,4
"103",17,0.0144714403109625,0.0435892401290792,3.96167097043816,0.0573310849803689,4
"104",18,0.0168467347231591,0.0406352783576284,4.2496627123612,0.0715929403780499,4
"105",19,0.0191132729893003,0.0380581216874477,4.53743431325952,0.0867252207003476,4
"106",20,0.0206170030206898,0.0354679157748495,4.86880109728028,0.100380086929765,4
"107",21,0.0211031405019632,0.0335756615745095,5.14319656396389,0.108537599718545,4
"108",22,0.0208823821315785,0.0315204505991189,5.4785456413386,0.114405083607727,4
