"","k","CRAB","run"
"174",7,0.0825402581888395,13
"175",8,0.0798425958811654,13
"176",9,0.0782092538672186,13
"177",10,0.0657808327520531,13
"178",11,0.0638165954231714,13
"179",12,0.0629128420037302,13
"180",13,0.0606698699904995,13
"181",14,0.0563156772778649,13
"182",15,0.052036532304413,13
"183",2,0.00718979602126251,14
"184",3,0.000679424459554857,14
"185",4,0.127781368094683,14
"186",5,0.0646626450674699,14
"187",6,0.0847436294298628,14
"188",7,0.0831706093413227,14
"189",8,0.0805309292954466,14
"190",9,0.0783216166443312,14
"191",10,0.0665564153056013,14
"192",11,0.0642587203522887,14
"193",12,0.0627848708777552,14
"194",13,0.0605301162516602,14
"195",14,0.0562774591174999,14
"196",15,0.051984713061297,14
"197",2,0.00712606524205858,15
"198",3,0.000767742223395662,15
"199",4,0.128159469655688,15
"200",5,0.0643380694464066,15
"201",6,0.0839833057606788,15
"202",7,0.0842106226170338,15
"203",8,0.0811962249047971,15
"204",9,0.0781476707806242,15
"205",10,0.0673830108519007,15
"206",11,0.0645613479963736,15
"207",12,0.0629664220414754,15
"208",13,0.0605510157111723,15
"209",14,0.0562887557839966,15
"210",15,0.0517700724553003,15
"211",2,0.00698204886385416,16
"212",3,0.000690397807665602,16
"213",4,0.128068648505905,16
"214",5,0.0670101736914336,16
"215",6,0.0840177860340018,16
"216",7,0.0842372804001278,16
"217",8,0.081620068111816,16
"218",9,0.0780228734066292,16
"219",10,0.0661817913788037,16
"220",11,0.0636087538887704,16
"221",12,0.0619767826877832,16
"222",13,0.0599238666206014,16
"223",14,0.0561355338364144,16
"224",15,0.051662258930092,16
"225",2,0.00698609697234621,17
"226",3,0.000679811466770898,17
"227",4,0.126214798247743,17
"228",5,0.0683053429078479,17
"229",6,0.0842356082229105,17
"230",7,0.0841935315669251,17
"231",8,0.0815106208569037,17
"232",9,0.0783164180833418,17
"233",10,0.0669162786948289,17
"234",11,0.0631227566912298,17
"235",12,0.0618155928044821,17
"236",13,0.0597308902201999,17
"237",14,0.0559606747246489,17
"238",15,0.0516500379689361,17
"239",2,0.00683841357189995,18
"240",3,0.00060176975357211,18
"241",4,0.123425172050785,18
"242",5,0.0699777663242828,18
"243",6,0.0841417881123401,18
"244",7,0.086304510940962,18
"245",8,0.0819254657777317,18
"246",9,0.0785290416999299,18
"247",10,0.066775318208687,18
"248",11,0.0633151449986723,18
"249",12,0.0618902554023995,18
"250",13,0.0595272117589198,18
"251",14,0.0558053105144318,18
"252",15,0.0516387951943287,18
"253",2,0.00646254251928514,19
"254",3,0.000536169365567034,19
"255",4,0.120238157918335,19
"256",5,0.0717295123428095,19
"257",6,0.0842275459766238,19
"258",7,0.0857743894582573,19
"259",8,0.0808660275886025,19
"260",9,0.0774617156139436,19
"261",10,0.0658147517743307,19
"262",11,0.063685205166333,19
"263",12,0.0622124226306738,19
"264",13,0.0597257190802145,19
"265",14,0.055963039670419,19
"266",15,0.0517167260589502,19
"267",2,0.00658354003585623,20
"268",3,0.000537361120057403,20
"269",4,0.120315786565243,20
"270",5,0.0735638709310596,20
"271",6,0.0842475790101177,20
"272",7,0.0851620921150291,20
"273",8,0.0811593096772316,20
"274",9,0.0776213366152982,20
"275",10,0.0654972738451772,20
"276",11,0.0630302485848921,20
"277",12,0.0616792327318938,20
"278",13,0.0597265836610835,20
"279",14,0.0557689745057833,20
"280",15,0.0517944689267272,20
"281",2,0.00647408743829185,21
"282",3,0.000531907953575971,21
"283",4,0.122038118203042,21
"284",5,0.0756738326949743,21
"285",6,0.0839436516185038,21
"286",7,0.0833129479462101,21
"287",8,0.0807187863377042,21
"288",9,0.0770513617503606,21
"289",10,0.0652114886539699,21
"290",11,0.062105552655506,21
"291",12,0.0611268196292638,21
"292",13,0.0594516912011618,21
"293",14,0.0558951595843605,21
"294",15,0.0519119472107612,21
"295",2,0.00670020448631949,22
"296",3,0.000530965503924589,22
"297",4,0.124953911030905,22
"298",5,0.0774181396172837,22
"299",6,0.0826943684968743,22
"300",7,0.0829434410224768,22
"301",8,0.0811898515500897,22
"302",9,0.077875818524851,22
"303",10,0.0657287396676232,22
"304",11,0.0631666047155338,22
"305",12,0.0616563066848468,22
"306",13,0.0600605806735989,22
"307",14,0.0562646485732979,22
"308",15,0.0523253315941371,22
"309",2,0.00659219562751011,23
"310",3,0.000591527044195435,23
"311",4,0.126715585204267,23
"312",5,0.0802257160726848,23
"313",6,0.0835073563522904,23
"314",7,0.0824026490925043,23
"315",8,0.0806272054980078,23
"316",9,0.0778589771399969,23
"317",10,0.0653065458543173,23
"318",11,0.0624471707333185,23
"319",12,0.061344002349452,23
"320",13,0.0601786218006191,23
